Date,Time,Away_Team,Home_Team,Away_Money_Line,Home_Money_Line,Away_Total,Home_Total,temp,DP,HUMID,Baro,M,N,O,P,Q,R,Total_Hits,Total_Walks,Total_Walks_Hits,Total_Bases,Away_Inning_1,h9,h8,h7,h6,h5,h4,h3,h2,h1,Home_Inning_1,a9,a8,a7,a6,a5,a4,A3,A2,A1,AQ,home_runs,stolen_bases,Away_Starter_Last_Name,Away_Starter_Handedness,Home_Starter_First_Name,Home_Starter_Last_Name,Home_Starter_Handedness,LD_PA,GB_PA,FB_PA,SO_PA,LD_BABIP,GB_BABIP,FB_BABIP,BF
8/21/2015,6:00 PM,Mets,Rockies,-105,-103,11 +108,11 -119,81,35.1,19,29.7,South,10.4,1.1634,15.75,15.75,31.5,23,29,8,37,74,0,0,1,0,1,3,2,1,1,\N,1,1,2,2,0,1,0,6,1,,8,,,,,,,,,,,,,,
8/19/2015,6:00 PM,Nationals,Rockies,-147,136,9.5 -103,9.5 -107,66,43,43,29.95,East,12.7,1.2056,2.25,0,2.25,5,11,3,14,20,0,0,0,0,0,0,0,1,0,\N,1,2,1,0,0,0,0,0,0,,0,,,,,,,,,,,,,,
8/20/2015,6:00 PM,Nationals,Rockies,-199,182,10.5 -123,10.5 +111,77,42.1,29,29.8,ESE,9.2,1.1751,2.25,0,2.25,5,14,7,21,27,0,0,1,1,1,0,0,0,0,\N,0,0,2,0,0,0,0,0,0,,1,,,,,,,,,,,,,,
4/22/2015,6:00 PM,Padres,Rockies,-108,100,10 -108,10 -102,48.9,41,74,29.9,ESE,8.1,1.2444,2.25,0,2.25,9,18,5,23,42,1,1,0,0,0,0,0,1,2,\N,0,0,2,1,0,0,0,0,1,,4,,,,,,,,,,,,,,
4/21/2015,6:00 PM,Padres,Rockies,-101,-107,10 -108,10 -102,57.9,28.9,33,29.88,NE,5.8,1.2234,11.25,4.5,15.75,13,20,9,29,45,1,0,0,0,3,2,0,0,0,\N,0,4,1,0,0,0,2,0,0,,2,,,,,,,,,,,,,,
9/20/2015,2:00 PM,Padres,Rockies,-122,113,11.5 +100,11.5 -110,80.1,19.9,11,29.92,NE,6.9,1.1754,0,13.5,13.5,14,19,6,25,46,0,0,3,0,0,0,0,0,1,\N,0,0,0,2,2,1,2,1,2,,5,,,,,,,,,,,,,,
9/21/2015,6:00 PM,Pirates,Rockies,-109,101,11 -117,11 +106,79,24.1,13,29.86,East,8.1,1.1752,6.75,6.75,13.5,12,24,9,33,51,0,0,0,0,3,0,0,0,0,\N,3,0,0,1,0,2,0,1,2,,3,,,,,,,,,,,,,,
8/15/2015,6:00 PM,Padres,Rockies,109,-118,10.5 -128,10.5 +116,86,48.9,28,30.14,SSW,13.8,1.1678,4.5,0,4.5,12,21,5,26,32,0,0,0,2,0,0,2,0,1,\N,3,0,0,3,0,0,0,0,1,,0,,,,,,,,,,,,,,
8/16/2015,2:00 PM,Padres,Rockies,104,-112,11 -108,11 -102,82,54,38,29.96,NW,8.1,1.1683,2.25,0,2.25,5,12,2,14,19,0,1,3,0,0,1,0,0,0,\N,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,
8/14/2015,6:00 PM,Padres,Rockies,-126,116,10 -120,10 +109,73,52,48,30.07,SW,23,1.1928,2.25,2.25,4.5,14,23,6,29,55,0,0,1,1,0,1,0,0,2,\N,1,0,4,0,1,0,0,0,3,,4,,,,,,,,,,,,,,
7/20/2015,6:00 PM,Rangers,Rockies,143,-155,10.5 +104,10.5 -115,63,57,81,30.08,WSW,12.7,1.2149,9,11.25,20.25,15,20,10,30,40,1,0,0,0,0,0,0,4,3,\N,1,0,1,0,3,0,2,0,0,,1,,,,,,,,,,,,,,
5/21/2015,1:00 PM,Phillies,Rockies,146,-161,9.5 +102,9.5 -113,53.1,41,64,30.17,SE,5.8,1.2454,11.25,6.75,18,7,19,8,27,37,0,0,2,0,2,0,3,0,0,\N,0,0,0,0,2,0,1,0,0,,2,,,,,,,,,,,,,,
7/25/2015,6:00 PM,Reds,Rockies,-128,118,10 -106,10 -104,84.9,42.1,22,29.87,ESE,12.7,1.1608,0,11.25,11.25,7,18,2,20,24,2,0,0,0,0,0,0,0,0,\N,0,0,0,0,0,1,4,0,0,,1,,,,,,,,,,,,,,
7/24/2015,6:00 PM,Reds,Rockies,106,-115,11 +106,11 -117,75,48,38,30.02,WNW,11.5,1.1872,4.5,6.75,11.25,11,20,7,27,48,1,2,0,1,2,0,0,0,0,\N,1,1,0,0,0,3,0,0,0,,3,,,,,,,,,,,,,,
9/3/2015,6:00 PM,Giants,Rockies,104,-113,11 +113,11 -125,64.9,57,75,29.88,NNW,5.8,1.2024,11.25,4.5,15.75,14,25,1,26,44,0,2,0,0,0,4,1,0,4,\N,0,0,0,1,0,0,2,0,0,,4,,,,,,,,,,,,,,
9/23/2015,6:00 PM,Pirates,Rockies,-136,126,11 -107,11 -103,75,43,32,29.95,NNE,5.8,1.1853,13.5,11.25,24.75,20,31,7,38,54,1,0,0,0,4,1,1,0,0,\N,6,0,0,0,0,2,3,0,2,,3,,,,,,,,,,,,,,
9/1/2015,6:00 PM,Diamondbacks,Rockies,-148,136,11 -116,11 +105,79,41,26,30.1,North,15,1.1827,2.25,0,2.25,5,16,4,20,34,0,0,0,0,0,0,1,0,2,\N,0,0,4,0,0,0,0,0,1,,3,,,,,,,,,,,,,,
9/24/2015,1:00 PM,Pirates,Rockies,-128,118,11 +104,11 -115,80.1,33.1,18,30.15,Variable,6.9,1.1833,6.75,2.25,9,9,20,6,26,37,0,0,0,1,1,0,2,0,0,\N,0,3,0,0,1,0,0,0,1,,1,,,,,,,,,,,,,,
